Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1739630099314,28182.471145629883,4000,0,1.26875,45153.69845581055,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,49.94336700439453,12.016120910644531,0,3.1864242553710938,86.85289001464844,0,27.3236083984375,5.608299255371094,23.42261505126953,0,8.363311767578125,0,17125388288,4831838208,14002151424,0
192,1739630099321,28182.492111206055,4000,0,1.26875,45154.0711517334,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,10.583564758300781,10.533470153808594,10.537940979003906,10.54241943359375,37.619415283203125,10.537940979003906,10.557624816894531,10.610397338867188,10.540626525878906,10.532577514648438,10.533470153808594,10.536155700683594,17125388288,4831838208,14002225152,0
200,1739630099514,28182.706115722656,4000,0,1.2625,45160.163497924805,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,0.7651443481445313,0.11371612548828125,0,0,3.0622940063476563,0.8975143432617188,0.7572708129882813,0.8908309936523438,0,0.701629638671875,0.0712890625,0,17125388288,4831838208,14002225152,0
199,1739630099715,28182.92529296875,4000,0,1.26875,45166.164779663086,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,2.9489593505859375,1.6418075561523438,1.3897552490234375,1.6604843139648438,5.096488952636719,3.164886474609375,2.983856201171875,4.380859375,2.214996337890625,1.3373184204101563,1.2775344848632813,1.4007492065429688,17125388288,4831838208,13986054144,0
199,1739630099915,28183.16912841797,4000,0,1.25625,45172.25263977051,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,0.0886993408203125,0.18544769287109375,0,0,3.8282012939453125,0.95263671875,0.6664962768554688,2.3548812866210938,0,0,0,0,17125388288,4831838208,13986062336,0
199,1739630100115,28183.383056640625,4000,0,1.225,45178.19445800781,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,1.9227981567382813,2.2155685424804688,0.39400482177734375,0.36336517333984375,5.298942565917969,0.7374725341796875,2.3370513916015625,1.4600448608398438,0.6672821044921875,0.8148117065429688,0.2770233154296875,0.617034912109375,17125388288,4831838208,13986086912,0
200,1739630100315,28183.63136291504,4000,0,1.23125,45183.145584106445,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,1.1055755615234375,0.5455856323242188,0,0.12618255615234375,5.132728576660156,4.754966735839844,2.0595703125,3.0387649536132813,0.32956695556640625,0.46614837646484375,0.0101470947265625,0,17125388288,4831838208,13986328576,0
200,1739630100515,28183.82618713379,4000,0,1.25625,45188.377838134766,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,1.754425048828125,0.20389556884765625,0.12729644775390625,0.49816131591796875,2.0153579711914063,0.8478240966796875,2.9687728881835938,0.7937774658203125,0.2157745361328125,0.6908798217773438,0.0647735595703125,0.16716766357421875,17125388288,4831838208,13986328576,0
200,1739630100716,28183.983184814453,4000,0,1.21875,45193.10354614258,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,0.6493759155273438,0.5119705200195313,0.33019256591796875,0.4733734130859375,2.596649169921875,1.35357666015625,1.0107879638671875,0.7564468383789063,0.4730224609375,0.24662017822265625,0.31201171875,0.25698089599609375,17125388288,4831838208,13986328576,0
200,1739630100916,28184.16082763672,4000,0,1.21875,45198.12821960449,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3.1115875244140625,0.542633056640625,0.4354248046875,0.2221527099609375,3.42584228515625,0.700958251953125,0.878875732421875,1.538543701171875,0.36646270751953125,0.32442474365234375,0.1965179443359375,0.03655242919921875,17125388288,4831838208,13986263040,0
