Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740317702775,30765.80014038086,4000,0,1.31875,59817.118896484375,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,23.267074584960938,34.34584045410156,10.1605224609375,13.041671752929688,49.43524932861328,13.410964965820313,2.2090988159179688,100,71.75413513183594,0,21.488815307617188,5.91033935546875,17125388288,4831838208,4982181888,0
190,1740317702785,30765.84260559082,4000,0,1.28125,59817.75178527832,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,13.502922058105469,0.20464324951171875,0.20636749267578125,0.5154876708984375,21.510726928710938,1.018890380859375,0.220184326171875,100,0.39546966552734375,1.0784683227539063,0.2037811279296875,1.5542449951171875,17125388288,4831838208,4982239232,0
200,1740317702976,30766.382522583008,4000,0,1.2875,59827.38999938965,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,0.8449630737304688,0.00811767578125,0.05451202392578125,0,1.1099700927734375,0.6165084838867188,0,100,0.0258636474609375,0.7489852905273438,0,0.1942138671875,17125388288,4831838208,4982112256,0
200,1740317703176,30766.573028564453,4000,0,1.2875,59835.6300201416,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,0.5985107421875,0.1663055419921875,0.09833526611328125,0.07855987548828125,1.68829345703125,0.1823883056640625,0.07875823974609375,100,0.247161865234375,0.16745758056640625,0.0890960693359375,0.08255767822265625,17125388288,4831838208,4982386688,0
200,1740317703376,30766.613342285156,4000,0,1.2875,59843.47959899902,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,0.1428375244140625,0.2846221923828125,0.0278167724609375,0.03231048583984375,1.1524658203125,0.18978118896484375,0.12555694580078125,100,0.04070281982421875,0.18523406982421875,0.7128753662109375,0.02117919921875,17125388288,4831838208,4981473280,0
200,1740317703576,30766.66098022461,4000,0,1.29375,59851.38166809082,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,1.117950439453125,0.14453125,0.04694366455078125,0.16056060791015625,1.175933837890625,0.6959915161132813,0.04784393310546875,100,0.04434967041015625,0.2722320556640625,0.0084381103515625,0.5415725708007813,17125388288,4831838208,4981080064,0
200,1740317703777,30766.690979003906,4000,0,1.29375,59859.1350402832,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,0.16730499267578125,0.109375,0.1127166748046875,0.10143280029296875,0.9225387573242188,0.19107818603515625,0.10123443603515625,100,0.13674163818359375,0.1077728271484375,0.11731719970703125,0.1011810302734375,17125388288,4831838208,4981080064,0
200,1740317703977,30766.738357543945,4000,0,1.29375,59867.017486572266,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,0.4268035888671875,0.21764373779296875,0,0,1.0509872436523438,0.551605224609375,0,100,0,0.11891937255859375,0,0.1460113525390625,17125388288,4831838208,4981071872,0
200,1740317704177,30766.783782958984,3240,1,1.35,59874.912200927734,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,1.5657501220703125,0.5724258422851563,0.6072616577148438,0.5618515014648438,2.0441741943359375,0.7123794555664063,0.5573883056640625,100,0.582000732421875,0.5899429321289063,0.5733642578125,0.5575332641601563,17125388288,4831838208,4982194176,0
200,1740317704378,30766.822525024414,3220.0000000000005,1,1.325,59883.65626525879,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,0,0,0,0,0.4191741943359375,0,0,100,0,0,0,0,17125388288,4831838208,4982108160,0
