Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1739708876025,13777.122680664063,3300,1,1.3625,18601.279006958008,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,62.74605178833008,40.34654235839844,20.059707641601563,19.901153564453125,68.16558837890625,25.866355895996094,73.64654541015625,38.79810333251953,34.59846496582031,48.9272346496582,24.033653259277344,40.080848693847656,17125388288,4831838208,16168640512,0
199,1739708876025,13777.151138305664,3279.9999999999995,1,1.33125,18601.57681274414,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,30.15019989013672,10.239173889160156,3.4413833618164063,0,100,82.185791015625,5.840599060058594,86.33193969726563,26.39642333984375,7.947418212890625,24.259613037109375,0,17125388288,4831838208,16184516608,0
200,1739708876225,17419.710678100586,3279.9999999999995,1,1.325,18613.76658630371,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,45.646728515625,12.383407592773438,21.278396606445313,84.4244384765625,57.88195037841797,22.67316436767578,34.0699462890625,48.82676315307617,29.403839111328125,18.437400817871094,16.699317932128906,15.744850158691406,17125388288,4831838208,16168075264,0
199,1739708876425,17991.167358398438,4150,0,1.4,18623.96435546875,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,5.50177001953125,3.7175979614257813,0.37648773193359375,15.309455871582031,77.59381103515625,0.7260284423828125,15.292037963867188,2.3921661376953125,16.083755493164063,2.6778640747070313,0.9990005493164063,0.9668045043945313,17125388288,4831838208,16170995712,0
200,1739708876625,17422.356033325195,4000,0,1.2875,18633.651901245117,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,2.4490890502929688,3.3994064331054688,0.2199554443359375,0.42276763916015625,11.090301513671875,7.429443359375,91.02444458007813,1.43408203125,1.4186325073242188,1.0556488037109375,0.366729736328125,0.29024505615234375,17125388288,4831838208,16173105152,0
209,1739708876825,10327.362762451172,3900,0,1.2,18645.62858581543,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,33.48253631591797,33.94365692138672,31.937545776367188,33.15028381347656,66.83778381347656,33.570404052734375,51.46720504760742,34.959327697753906,40.68063735961914,32.57445526123047,31.72209930419922,31.87671661376953,17125388288,4831838208,16191385600,0
201,1739708877035,17995.8779296875,3875,0,1.2125,18662.489135742188,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,88.98783111572266,88.92881774902344,86.540771484375,86.65662384033203,90.95252227783203,90.04044342041016,90.35842895507813,90.6290512084961,87.23677062988281,87.76045227050781,86.9559555053711,87.38316345214844,17125388288,4831838208,16200540160,0
200,1739708877237,13785.344116210938,3825,0,1.16875,18679.945556640625,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,90.0567626953125,88.65860748291016,86.81156158447266,86.65554809570313,90.57682800292969,89.38745880126953,91.135498046875,89.80538177490234,88.32567596435547,88.74629211425781,86.99102020263672,87.28878021240234,17125388288,4831838208,16202235904,0
199,1739708877438,18000.405227661133,3850,0,1.175,18695.635620117188,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,92.1720199584961,90.17362213134766,88.5540771484375,89.35423278808594,90.84857177734375,90.8472900390625,91.68185424804688,91.2022476196289,89.32859802246094,89.1409912109375,89.52989196777344,88.78526306152344,17125388288,4831838208,16202809344,0
204,1739708877638,18002.6349029541,3750,0,1.1375,18711.939880371094,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,90.4633560180664,90.08451080322266,87.47694396972656,88.41545104980469,91.4443359375,90.4044189453125,90.69088745117188,92.29798889160156,89.30834197998047,88.55447387695313,89.23514556884766,88.4931411743164,17125388288,4831838208,16203575296,0
200,1739708877842,17435.63395690918,3775,0,1.15625,18727.628860473633,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,89.67314147949219,88.58042907714844,86.53105163574219,87.24357604980469,89.02433013916016,90.3304214477539,91.34651184082031,90.26966857910156,88.0124740600586,88.08332824707031,89.08345031738281,88.32772064208984,17125388288,4831838208,16208375808,0
199,1739708878043,13794.36604309082,3775,0,1.15,18744.557708740234,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,91.56495666503906,90.696044921875,89.49605560302734,88.85431671142578,92.66932678222656,90.73899841308594,93.45435333251953,90.94876098632813,89.72634887695313,89.35781860351563,89.45275115966797,89.38142395019531,17125388288,4831838208,16208703488,0
