Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740171936999,35222.88977050781,3975,0,1.29375,958.5785980224609,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,59.99680709838867,79.44673919677734,68.6748046875,66.31552124023438,99.86332702636719,48.52656555175781,77.89749145507813,100,47.812294006347656,71.3114242553711,44.368629455566406,100,17125388288,4831838208,14190235648,0
196,1740171937003,35222.93280029297,3950,0,1.26875,959.1567840576172,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,62.31562423706055,5.643730163574219,6.1077728271484375,100,100,69.94429016113281,6.551422119140625,100,100,6.3729400634765625,35.2889404296875,100,17125388288,4831838208,14189981696,0
200,1740171937199,23546.66310119629,3775,0,1.1625,972.7270050048828,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,50.92185592651367,59.79527282714844,36.998863220214844,87.4865951538086,93.26338195800781,88.40948486328125,79.8189697265625,71.16210174560547,64.68000793457031,46.97388458251953,53.94206237792969,71.57658386230469,17125388288,4831838208,14226882560,0
200,1740171937400,23548.574645996094,3975,0,1.25,986.6280975341797,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,36.959381103515625,55.060672760009766,66.06859588623047,34.199302673339844,6.634117126464844,98.02571105957031,39.050331115722656,69.36796569824219,72.82171630859375,32.23304748535156,96.953857421875,1.4460296630859375,17125388288,4831838208,14226956288,0
200,1740171937600,44483.44641113281,3650,0,1.1,1000.001220703125,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,73.49920654296875,26.829200744628906,28.004600524902344,51.42918395996094,65.59544372558594,54.936405181884766,69.12110900878906,44.31085205078125,55.20075988769531,56.763519287109375,11.463546752929688,84.83965301513672,17125388288,4831838208,14224982016,0
200,1740171937800,44485.161697387695,3950,0,1.2625,1013.4727172851563,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,15.485626220703125,98.69012451171875,6.919105529785156,60.88750076293945,17.849227905273438,84.42430877685547,99.03182220458984,16.47003173828125,0.40067291259765625,100,44.51214599609375,55.024810791015625,17125388288,4831838208,14222032896,0
200,1740171938001,44487.23045349121,3950,0,1.24375,1027.2628936767578,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,47.98074722290039,46.240596771240234,29.27269744873047,41.60951232910156,39.36174392700195,97.50746154785156,64.86091613769531,60.653221130371094,52.292076110839844,50.8143310546875,18.625404357910156,64.38792419433594,17125388288,4831838208,14221520896,0
200,1740171938201,44489.22146606445,3675,0,1.1125,1041.177261352539,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3.525604248046875,88.99095153808594,61.2997932434082,31.87946319580078,76.68132019042969,42.33111572265625,32.67146301269531,77.2679443359375,83.17271423339844,24.562225341796875,31.440414428710938,55.228816986083984,17125388288,4831838208,14221201408,0
199,1740171938402,44491.119064331055,3600,1,1.06875,1054.53955078125,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,0,91.08619689941406,4.5372314453125,63.07051467895508,44.07051086425781,67.47113037109375,32.16808319091797,77.37594604492188,98.99701690673828,8.295745849609375,23.16284942626953,91.05155944824219,17125388288,4831838208,14220955648,0
200,1740171938602,30113.384490966797,3825,0,1.16875,1068.2327270507813,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,6.6088104248046875,97.26370239257813,18.886070251464844,33.57917022705078,46.824501037597656,58.1396369934082,48.68393325805664,76.90353393554688,64.556396484375,62.67549133300781,49.29887771606445,53.76238250732422,17125388288,4831838208,14223228928,0
