Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740600442329,8315.37875366211,4225,0,1.29375,13960.661499023438,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,67.69424438476563,0,24.25061798095703,20.219894409179688,22.532485961914063,73.00962829589844,17.695831298828125,0,0,40.1494026184082,0,23.31737518310547,16487870464,15032385536,7678013440,0
201,1740600442329,8315.390060424805,4225,0,1.2875,13960.727020263672,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,100,100,100,100,100,100,100,100,100,100,100,100,16487870464,15032385536,7696265216,0
199,1740600442531,8316.15200805664,4175,0,1.28125,13967.274063110352,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,51.69148254394531,38.32499694824219,49.218868255615234,42.63356018066406,54.099853515625,42.67793655395508,48.35121154785156,55.86003112792969,81.39073181152344,44.66810607910156,49.582664489746094,43.29368209838867,16487870464,15032385536,7666040832,0
200,1740600442732,9591.684097290039,4100,0,1.25,13972.904388427734,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,38.73725128173828,55.91313934326172,34.06605529785156,40.96369552612305,43.92291259765625,39.275272369384766,33.97178649902344,39.27424240112305,38.802459716796875,23.977516174316406,55.23734664916992,31.051345825195313,16487870464,15032385536,7635230720,0
200,1740600442932,27894.169815063477,3950,0,1.19375,13978.778854370117,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,45.97933578491211,29.58319854736328,63.981021881103516,39.95759582519531,45.152626037597656,38.35035705566406,45.63755416870117,50.97144317626953,40.88121795654297,43.1877326965332,42.849708557128906,39.17928695678711,16487870464,15032385536,7639330816,0
200,1740600443133,9593.31510925293,4125,0,1.275,13984.494110107422,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,38.89431381225586,34.22398376464844,32.85680389404297,43.07204818725586,66.60670471191406,35.02336883544922,41.34464645385742,40.44050979614258,53.94791030883789,28.139724731445313,43.3370246887207,28.53076171875,16487870464,15032385536,7655882752,0
198,1740600443334,51661.77250671387,4025,0,1.21875,13989.853790283203,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,39.48801040649414,30.624290466308594,44.771244049072266,27.710189819335938,44.4074592590332,61.25617218017578,39.376434326171875,46.785099029541016,50.601444244384766,37.055782318115234,54.96628952026367,31.620071411132813,16487870464,15032385536,7668969472,0
200,1740600443533,8320.203338623047,3200,1,0.96875,13995.769180297852,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,45.751426696777344,36.801353454589844,48.519134521484375,41.52758026123047,49.87221908569336,45.02940368652344,55.140289306640625,48.85237503051758,52.265480041503906,36.9953727722168,50.59873962402344,51.481414794921875,16487870464,15032385536,7727218688,0
201,1740600443734,8320.962646484375,4125,0,1.21875,14001.910293579102,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,53.15020751953125,43.108154296875,50.79486083984375,42.36537551879883,53.773963928222656,44.834110260009766,52.84306716918945,54.328826904296875,43.51660919189453,47.94795227050781,48.460113525390625,43.54240036010742,16487870464,15032385536,7727267840,0
199,1740600443935,3327.626998901367,4125,0,1.26875,14008.125534057617,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,66.8192367553711,35.059417724609375,39.07388687133789,55.85005569458008,46.71377182006836,41.3280143737793,41.97376251220703,45.20060729980469,37.30531311035156,55.00923538208008,49.789207458496094,33.42828369140625,16487870464,15032385536,7652233216,0
200,1740600444135,27898.745010375977,3975,0,1.19375,14013.14340209961,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,60.8928337097168,26.06104278564453,28.707054138183594,56.63084030151367,43.89059066772461,30.427536010742188,41.54622268676758,40.001792907714844,36.29665756225586,33.51197052001953,37.101661682128906,39.84848403930664,16487870464,15032385536,7695446016,0
200,1740600444335,27899.51316833496,4075,0,1.23125,14018.480682373047,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,37.292667388916016,46.60100173950195,43.397953033447266,54.2358283996582,55.40088653564453,46.01911163330078,45.71514892578125,57.28425216674805,65.92665100097656,40.41655349731445,40.54725646972656,45.22307205200195,16487870464,15032385536,7692185600,0
200,1740600444536,8323.869644165039,4200,0,1.29375,14024.800323486328,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,44.44647979736328,33.92182159423828,37.02389907836914,52.84459686279297,54.17536926269531,50.97663116455078,45.52769088745117,43.6502685546875,43.1135139465332,35.600807189941406,43.77743911743164,56.04806137084961,16487870464,15032385536,7666278400,0
200,1740600444736,9599.457977294922,4000,0,1.20625,14030.197891235352,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,42.57553482055664,27.992088317871094,59.69366455078125,40.537235260009766,40.243431091308594,42.112545013427734,40.44036865234375,41.01883316040039,49.70769119262695,39.25666427612305,44.37269973754883,30.37334442138672,16487870464,15032385536,7635136512,0
200,1740600444937,27902.117065429688,3950,0,1.19375,14036.217651367188,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,46.38577651977539,45.183162689208984,32.05796813964844,44.8886833190918,54.138145446777344,40.1136589050293,45.38398742675781,66.75780487060547,45.629676818847656,39.920982360839844,41.27458572387695,35.86677551269531,16487870464,15032385536,7656239104,0
200,1740600445137,8325.927017211914,4125,0,1.2625,14041.75325012207,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,49.75151443481445,27.831283569335938,32.38560485839844,50.21003723144531,53.2559700012207,37.73823547363281,39.3089485168457,44.635189056396484,40.802330017089844,52.31209945678711,40.675411224365234,43.42189025878906,16487870464,15032385536,7651082240,0
199,1740600445338,27903.560592651367,4075,0,1.23125,14047.264572143555,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,36.00338363647461,39.88028335571289,35.53459167480469,47.285953521728516,37.99888229370117,43.636627197265625,46.96437072753906,61.74833679199219,27.174407958984375,37.68618392944336,44.99939727783203,27.262680053710938,16487870464,15032385536,7684939776,0
199,1740600445538,8327.335494995117,3240,1,0.9812500000000001,14053.457946777344,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,63.63611602783203,39.11206817626953,48.526920318603516,61.420345306396484,49.40886306762695,48.18184280395508,44.18199157714844,46.9890251159668,49.91756820678711,39.57796096801758,48.39145278930664,45.607383728027344,16487870464,15032385536,7727554560,0
200,1740600445738,8328.232711791992,4000,0,1.19375,14059.55484008789,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,49.07606887817383,40.69976043701172,50.33437728881836,47.32261276245117,66.68041229248047,43.47885513305664,53.3372802734375,51.0080680847168,48.550559997558594,35.841697692871094,49.74759292602539,46.87207794189453,16487870464,15032385536,7727439872,0
200,1740600445939,8328.893676757813,3850,0,1.14375,14065.098114013672,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,45.90376281738281,27.46643829345703,59.366355895996094,41.266170501708984,48.63783264160156,37.85178756713867,38.79588317871094,49.52440643310547,41.1083869934082,48.49248504638672,43.709293365478516,34.795860290527344,16487870464,15032385536,7667720192,0
199,1740600446140,9604.569885253906,4125,0,1.26875,14070.442077636719,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,48.110618591308594,31.81909942626953,57.789615631103516,37.66852569580078,53.21862030029297,37.25286102294922,45.98212432861328,46.128414154052734,45.21554183959961,32.08464050292969,33.68235778808594,30.540069580078125,16487870464,15032385536,7696687104,0
200,1740600446340,8330.416366577148,3925,0,1.16875,14076.147659301758,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,68.20531463623047,36.666908264160156,38.98637390136719,54.428470611572266,57.92255783081055,48.34318923950195,45.943511962890625,51.910797119140625,52.13324737548828,37.978275299072266,52.81404113769531,35.08976745605469,16487870464,15032385536,7678185472,0
199,1740600446540,8331.028457641602,3300,1,0.99375,14081.497024536133,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,63.435157775878906,25.112716674804688,34.91761779785156,49.62822723388672,47.86023712158203,35.97218322753906,37.79456329345703,40.74637222290039,56.22330093383789,31.458709716796875,42.165489196777344,33.20512390136719,16487870464,15032385536,7651418112,0
199,1740600446740,8331.798843383789,4075,0,1.2375,14087.431106567383,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,48.996578216552734,34.311256408691406,50.8463249206543,41.37976837158203,53.1834831237793,48.050697326660156,67.16695404052734,48.73503112792969,42.279788970947266,47.11070251464844,41.37946701049805,38.94853973388672,16487870464,15032385536,7640850432,0
200,1740600446940,2721.0770263671875,4075,0,1.24375,14092.875534057617,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,55.24551773071289,29.586387634277344,42.20720672607422,42.104583740234375,44.5938606262207,37.202152252197266,74.41404724121094,41.218658447265625,37.185890197753906,33.29169464111328,37.02130126953125,40.3209228515625,16487870464,15032385536,7640944640,0
199,1740600447141,9607.988540649414,4100,0,1.25,14098.340362548828,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,48.15666580200195,30.533714294433594,39.386322021484375,31.24005889892578,87.23944854736328,37.17030334472656,39.1703987121582,40.389984130859375,41.436283111572266,29.4630126953125,35.93181610107422,27.140235900878906,16487870464,15032385536,7653031936,0
200,1740600447341,8334.454040527344,3925,0,1.16875,14104.313995361328,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,46.51905059814453,35.44568634033203,37.856605529785156,53.43658447265625,47.417633056640625,48.6527214050293,39.379180908203125,60.29541015625,45.22990417480469,42.8870849609375,60.11909103393555,30.655227661132813,16487870464,15032385536,7727218688,0
200,1740600447541,8335.323013305664,4075,0,1.225,14109.941711425781,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,53.56707763671875,32.17528533935547,42.19157028198242,43.25591278076172,61.38508605957031,46.438758850097656,48.364601135253906,55.793739318847656,35.01396179199219,49.50357437133789,57.89174270629883,45.508113861083984,16487870464,15032385536,7727214592,0
199,1740600447742,27913.208602905273,4150,0,1.28125,14116.226150512695,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,57.942386627197266,34.39122009277344,47.526119232177734,33.79869079589844,48.09508514404297,45.117958068847656,48.56525421142578,48.2960205078125,48.699344635009766,36.11624526977539,38.287471771240234,68.17364501953125,16487870464,15032385536,7655534592,0
200,1740600447942,51679.11218261719,4125,0,1.26875,14121.991088867188,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,52.30038070678711,46.21918487548828,39.13317108154297,31.654937744140625,48.84541702270508,35.44654083251953,45.4822883605957,44.92881774902344,42.51472854614258,24.226051330566406,60.711368560791016,28.802635192871094,16487870464,15032385536,7669411840,0
200,1740600448142,8337.43051147461,3260,1,0.9812500000000001,14127.753952026367,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,65.49172973632813,36.415157318115234,41.286705017089844,41.84950637817383,52.65907669067383,42.07148361206055,49.26555633544922,53.13040542602539,41.92082977294922,40.43424606323242,51.181880950927734,62.01396179199219,16487870464,15032385536,7696412672,0
200,1740600448343,8338.148651123047,4025,0,1.2125,14133.767379760742,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,42.8134765625,46.18370056152344,45.322879791259766,45.38534164428711,47.30866241455078,42.59988021850586,70.33599853515625,44.25490188598633,48.228294372558594,32.54954528808594,44.81507873535156,33.543243408203125,16487870464,15032385536,7665664000,0
200,1740600448543,3345.7181396484375,4025,0,1.21875,14138.822311401367,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,44.03533172607422,27.527175903320313,60.18828582763672,35.567138671875,50.610450744628906,38.510250091552734,39.49385070800781,42.69947052001953,43.56966018676758,30.66680908203125,49.326602935791016,35.28131866455078,16487870464,15032385536,7635062784,0
199,1740600448744,9613.467529296875,3875,0,1.16875,14145.219863891602,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,41.43318176269531,45.326053619384766,51.935977935791016,38.12849426269531,49.5679931640625,37.96976089477539,49.1759033203125,42.52911376953125,44.88259506225586,35.688568115234375,70.73892211914063,31.69200897216797,16487870464,15032385536,7657304064,0
200,1740600448944,8340.659591674805,4250,0,1.3,14152.468795776367,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,44.068023681640625,40.80197525024414,68.95375061035156,36.41744613647461,67.27334594726563,44.16175842285156,48.000877380371094,39.352867126464844,55.945220947265625,33.42802429199219,55.61946105957031,40.36320114135742,16487870464,15032385536,7653453824,0
200,1740600449144,9615.103454589844,4075,0,1.24375,14158.477676391602,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,67.4112319946289,27.475479125976563,38.4017448425293,48.295955657958984,46.15436553955078,39.64345169067383,38.37366485595703,65.81916809082031,40.218482971191406,39.66607666015625,40.21488571166992,38.09530258178711,16487870464,15032385536,7719608320,0
200,1740600449344,8342.129272460938,3240,1,0.9812500000000001,14164.569793701172,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,49.288368225097656,41.56709289550781,52.43083572387695,48.966426849365234,56.14712142944336,48.173770904541016,60.17616653442383,46.37162399291992,50.56945037841797,42.65019607543945,50.584022521972656,43.81659698486328,16487870464,15032385536,7727169536,0
200,1740600449545,2731.571731567383,4100,0,1.25625,14170.595840454102,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,58.38572692871094,37.185523986816406,43.347110748291016,50.096412658691406,56.54166030883789,40.297645568847656,46.385257720947266,49.26948547363281,51.661293029785156,48.72903060913086,58.31957244873047,37.75619125366211,16487870464,15032385536,7703560192,0
199,1740600449745,2732.262954711914,3850,0,1.15625,14176.738311767578,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,37.741722106933594,28.9859619140625,31.573776245117188,48.853126525878906,46.92914962768555,33.43909454345703,68.91413879394531,43.13734436035156,39.98996353149414,33.07286071777344,44.74614334106445,29.127220153808594,16487870464,15032385536,7667421184,0
200,1740600449945,8344.477233886719,3240,1,0.9812500000000001,14181.729431152344,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,54.84627151489258,25.356361389160156,39.290523529052734,44.031349182128906,67.46138763427734,36.87250518798828,39.29976272583008,45.22694778442383,43.27590560913086,37.131160736083984,43.61245346069336,30.42853546142578,16487870464,15032385536,7696257024,0
200,1740600450146,8345.206130981445,4075,0,1.2375,14187.509689331055,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,49.4144172668457,36.140403747558594,42.703712463378906,51.5029296875,52.82578659057617,45.421756744384766,43.160972595214844,69.90179443359375,42.221336364746094,37.67801284790039,50.18412399291992,43.326412200927734,16487870464,15032385536,7673606144,0
200,1740600450347,2734.607620239258,4150,0,1.28125,14193.28840637207,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,67.73770141601563,37.76177978515625,39.23601150512695,38.24750518798828,43.14276123046875,40.760353088378906,45.641719818115234,38.81906509399414,39.08242416381836,35.28056335449219,62.77882766723633,32.701820373535156,16487870464,15032385536,7643095040,0
200,1740600450549,8346.77963256836,4175,0,1.2875,14199.44401550293,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,46.291744232177734,31.894424438476563,40.736637115478516,37.13837814331055,41.07575225830078,56.49730682373047,43.13483428955078,43.34489822387695,45.279632568359375,34.21238708496094,71.91755676269531,29.406326293945313,16487870464,15032385536,7640145920,0
200,1740600450749,8347.394058227539,4050,0,1.225,14205.095840454102,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,43.97882843017578,32.672332763671875,39.17726516723633,49.21076202392578,39.443397521972656,37.23790740966797,40.230812072753906,45.72572708129883,58.950843811035156,36.114131927490234,50.871429443359375,31.420127868652344,16487870464,15032385536,7641284608,0
199,1740600450950,8348.01040649414,4000,0,1.2,14210.48324584961,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,62.9017333984375,44.63742446899414,49.07823181152344,51.679195404052734,43.80311965942383,42.17557907104492,35.896636962890625,43.98325729370117,35.50731658935547,39.58848190307617,40.22999954223633,34.531410217285156,16487870464,15032385536,7667367936,0
200,1740600451150,8348.718566894531,3240,1,0.9812500000000001,14216.438247680664,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,55.908573150634766,50.069332122802734,39.69834518432617,41.955806732177734,51.222320556640625,38.213905334472656,44.93498229980469,62.01078796386719,40.94132614135742,39.00497817993164,41.51836013793945,36.240047454833984,16487870464,15032385536,7727153152,0
200,1740600451350,8349.475677490234,4100,0,1.2375,14222.60580444336,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,54.663848876953125,46.48222351074219,52.40977478027344,36.6114616394043,50.11722946166992,48.046607971191406,53.23710632324219,56.810462951660156,42.6235466003418,52.723270416259766,44.59654998779297,43.04155731201172,16487870464,15032385536,7727181824,0
200,1740600451550,9624.01335144043,4000,0,1.225,14228.69645690918,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,58.39997863769531,40.98993682861328,45.06516647338867,40.23747634887695,58.17005920410156,44.01680374145508,40.30360412597656,45.998477935791016,57.10233688354492,33.76995086669922,46.310115814208984,44.52155685424805,16487870464,15032385536,7655747584,0
200,1740600451751,8350.767684936523,3260,1,0.9812500000000001,14233.304641723633,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,49.01072692871094,28.69609832763672,36.29835510253906,66.25302124023438,39.17436981201172,32.18407440185547,37.69034194946289,37.006797790527344,36.41911697387695,29.429283142089844,39.47609329223633,26.12139892578125,16487870464,15032385536,7696683008,0
199,1740600451951,8351.514083862305,4175,0,1.275,14239.739288330078,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,61.56013488769531,32.808143615722656,38.157569885253906,51.384456634521484,50.318790435791016,44.53229904174805,68.76502990722656,51.7862434387207,46.87358093261719,38.36762237548828,53.2560920715332,43.899658203125,16487870464,15032385536,7691374592,0
