Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740606560898,32519.128967285156,4250,0,1.3,48330.51219177246,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,70.96156311035156,51.05012893676758,46.09120178222656,91.4259033203125,69.51791381835938,56.31382369995117,58.987979888916016,68.32494354248047,91.4386215209961,51.263275146484375,62.96581268310547,48.33143615722656,16487870464,15032385536,7662317568,0
200,1740606560898,32519.137786865234,4225,0,1.3,48330.55276489258,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,100,100,100,100,100,100,100,100,100,100,100,100,16487870464,15032385536,7666212864,0
200,1740606561099,32520.09553527832,4175,0,1.275,48337.04965209961,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,56.87657165527344,45.06618118286133,45.756649017333984,68.19548034667969,58.58790969848633,54.166194915771484,53.16154098510742,50.744197845458984,56.626277923583984,44.0466194152832,53.417884826660156,49.43416976928711,16487870464,15032385536,7756148736,0
200,1740606561299,32521.166961669922,4100,0,1.25,48343.55239868164,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,49.90534973144531,53.70954895019531,59.594139099121094,57.87783432006836,68.75827026367188,51.764671325683594,50.33258819580078,57.69716262817383,52.012413024902344,43.84400939941406,52.56173324584961,53.1131591796875,16487870464,15032385536,7793930240,0
200,1740606561499,32521.862518310547,4100,0,1.23125,48349.47294616699,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,41.0922966003418,44.42346954345703,50.83272933959961,45.3835563659668,47.009864807128906,48.272621154785156,60.82270812988281,43.62064743041992,58.23028564453125,38.845802307128906,43.23987579345703,48.37548828125,16487870464,15032385536,7791022080,0
199,1740606561700,33614.97709655762,3875,0,1.16875,48356.54658508301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,51.901519775390625,54.56236267089844,55.399024963378906,43.039466857910156,80.44071960449219,51.65974044799805,47.49190139770508,51.236087799072266,54.956233978271484,50.4694709777832,51.60287857055664,47.28255081176758,16487870464,15032385536,7799185408,0
200,1740606561900,32523.99658203125,3200,1,0.975,48362.67655944824,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,44.289146423339844,63.39470672607422,49.38759994506836,52.42050552368164,54.697383880615234,47.398277282714844,45.51652908325195,46.58848571777344,52.38875198364258,42.77167510986328,62.79152297973633,46.821231842041016,16487870464,15032385536,7795249152,0
200,1740606562100,32524.678329467773,3975,0,1.18125,48368.196838378906,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,41.765995025634766,56.44257736206055,41.737972259521484,57.7884407043457,49.7230339050293,44.5343132019043,40.45085525512695,44.83867263793945,44.659027099609375,35.338531494140625,38.7808837890625,62.3554573059082,16487870464,15032385536,7794868224,0
204,1740606562301,53160.50198364258,4000,0,1.2125,48374.82376098633,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,45.54871368408203,50.307228088378906,51.13739013671875,41.51832580566406,54.20973205566406,42.25724411010742,52.08782958984375,47.607505798339844,53.47984313964844,61.666358947753906,44.473716735839844,65.36846160888672,16487870464,15032385536,7739023360,0
199,1740606562506,25854.631408691406,3975,0,1.2,48380.56489562988,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,49.427734375,51.686641693115234,71.23930358886719,53.72408676147461,54.59938430786133,52.47101974487305,59.05438995361328,55.579505920410156,51.8322639465332,45.09004592895508,48.60172653198242,48.286861419677734,16487870464,15032385536,7658549248,0
203,1740606562706,25855.65672302246,4100,0,1.25625,48386.77964782715,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,55.478031158447266,55.27427673339844,48.97627258300781,40.65595626831055,48.87347412109375,48.87331771850586,47.14116668701172,50.98347091674805,51.205928802490234,42.9325065612793,44.73220443725586,67.3232421875,16487870464,15032385536,7664496640,0
195,1740606562914,32527.851806640625,4100,0,1.2375,48393.11929321289,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,57.56542205810547,51.997196197509766,50.747703552246094,63.97829055786133,60.03023147583008,52.31064224243164,51.00975036621094,55.87491226196289,67.68445587158203,44.18778610229492,47.10613250732422,48.589962005615234,16487870464,15032385536,7722745856,0
200,1740606563110,32528.5341796875,3279.9999999999995,1,0.9875,48398.75360107422,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,45.64500427246094,60.50605010986328,46.79988479614258,53.37608337402344,53.855010986328125,45.35639572143555,43.32624435424805,70.84858703613281,50.53175735473633,43.40244674682617,46.960418701171875,45.88059616088867,16487870464,15032385536,7779893248,0
200,1740606563311,32529.60285949707,4125,0,1.25625,48405.118225097656,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,45.428104400634766,50.00301742553711,52.161434173583984,46.31017303466797,50.84678268432617,74.49205017089844,53.55402755737305,47.02322769165039,62.99843978881836,43.745758056640625,52.93797302246094,55.0035285949707,16487870464,15032385536,7791374336,0
