Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740567484631,8150.50732421875,4250,0,1.2875,20120.023315429688,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,0,0,0,0,75.64634704589844,0,100,0,0,0,62.48802947998047,0,16487870464,15032385536,7486099456,0
200,1740567484631,8150.518814086914,4250,0,1.2875,20120.086212158203,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,100,100,100,100,100,100,100,100,100,100,100,100,16487870464,15032385536,7485927424,0
200,1740567484831,8150.533721923828,4250,0,1.24375,20122.611389160156,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3.3269271850585938,2.7629623413085938,2.9597930908203125,3.0402908325195313,4.3333892822265625,3.0653152465820313,82.11332702636719,20.73003387451172,3.2211685180664063,2.9515457153320313,2.8074798583984375,2.8524322509765625,16487870464,15032385536,7485935616,0
200,1740567485032,8150.5474853515625,3400,0,0.99375,20125.174713134766,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,94.77433013916016,0.104827880859375,0.16115570068359375,0.30001068115234375,0.6524658203125,0.43827056884765625,0.23699951171875,7.120796203613281,0.5347137451171875,0.159210205078125,0.29631805419921875,0.613250732421875,16487870464,15032385536,7483596800,0
200,1740567485232,8150.699279785156,4250,0,1.275,20127.930404663086,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,100,2.2309494018554688,2.8604278564453125,2.1414871215820313,3.5337295532226563,17.525863647460938,2.6401901245117188,4.74566650390625,2.58447265625,2.3343124389648438,2.20147705078125,2.0541915893554688,16487870464,15032385536,7493799936,0
200,1740567485433,8150.720184326172,4250,0,1.2375,20130.4933013916,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,62.057003021240234,36.69036102294922,0,0,0.7027587890625,0,0,0,0.01776885986328125,0,0,0,16487870464,15032385536,7492988928,0
199,1740567485633,4701.7861328125,4250,0,1.29375,20133.151077270508,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,2.5967254638671875,95.85501861572266,2.2955856323242188,2.3505859375,5.5493316650390625,0.5196456909179688,2.887786865234375,0.657318115234375,2.4089279174804688,1.1939163208007813,0.7201004028320313,0.8089141845703125,16487870464,15032385536,7492952064,0
200,1740567485833,4701.802780151367,4250,0,1.29375,20135.769088745117,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,0.393218994140625,5.97265625,0.155120849609375,0.38787078857421875,81.07673645019531,18.95360565185547,0.1227264404296875,0.14507293701171875,2.23553466796875,0.00624847412109375,0.08663177490234375,0.13747406005859375,16487870464,15032385536,7492952064,0
200,1740567486034,1172.2745513916016,3400,0,1,20138.318923950195,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,0.7833404541015625,0,0.0753936767578125,0.23095703125,2.3124465942382813,100,1.088592529296875,0,0.692779541015625,0.09329986572265625,0.35953521728515625,0.02375030517578125,16487870464,15032385536,7506530304,0
199,1740567486234,1172.2930450439453,4250,0,1.2875,20140.87452697754,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,1.3373641967773438,0.8624343872070313,0.9624176025390625,1.0236053466796875,1.1193923950195313,100,3.18365478515625,0.7509841918945313,1.5680923461914063,1.253387451171875,0.9722442626953125,1.0436477661132813,16487870464,15032385536,7511576576,0
200,1740567486434,8156.798843383789,4250,0,1.2375,20143.418899536133,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,0.8047256469726563,0.5934600830078125,0.5343704223632813,0.13397979736328125,2.2357635498046875,78.28553771972656,0.7076950073242188,0.36469268798828125,22.430747985839844,0.1879730224609375,0.41208648681640625,0.17922210693359375,16487870464,15032385536,7510790144,0
200,1740567486635,8156.815093994141,4250,0,1.2375,20146.013381958008,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,1.2027740478515625,0.131805419921875,0.29169464111328125,0.29244232177734375,1.960357666015625,0.34161376953125,0.6797332763671875,0.192901611328125,100,0.0878753662109375,0.41756439208984375,0.1213836669921875,16487870464,15032385536,7510650880,0
200,1740567486835,8156.832366943359,4250,0,1.275,20148.62355041504,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,0.9151153564453125,0.7315292358398438,0.788116455078125,0.7202529907226563,2.1870574951171875,0.7021865844726563,0.6065292358398438,0.5610733032226563,100,0.303741455078125,0.8871688842773438,0.6640625,16487870464,15032385536,7527292928,0
200,1740567487036,8156.838455200195,3400,0,0.99375,20151.167282104492,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,0.7622451782226563,0.03118896484375,0.3165740966796875,0.35889434814453125,0.11782073974609375,0.31038665771484375,0.22186279296875,0.303497314453125,100,2.2748641967773438,0.235687255859375,0.39227294921875,16487870464,15032385536,7528361984,0
200,1740567487236,8156.858245849609,4250,0,1.275,20153.853057861328,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,8.868217468261719,2.4066314697265625,2.516693115234375,2.4522781372070313,4.177253723144531,2.4495697021484375,2.501312255859375,2.3882980346679688,100,2.1149673461914063,2.60552978515625,2.2960281372070313,16487870464,15032385536,7529402368,0
200,1740567487436,8156.876419067383,4250,0,1.2375,20156.45587158203,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,0,0,0,0,0.6727828979492188,0,0,0,61.9659538269043,36.83935546875,0,0,16487870464,15032385536,7528833024,0
200,1740567487637,8156.890396118164,4250,0,1.275,20159.020111083984,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,0.8159637451171875,0.29402923583984375,0.283905029296875,0.628753662109375,1.9330291748046875,0.47296142578125,1.0840072631835938,0.2387237548828125,0.30010986328125,100,0.42578125,0.231689453125,16487870464,15032385536,7544885248,0
200,1740567487837,8156.910110473633,4250,0,1.2375,20161.660705566406,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,0.713775634765625,0.29796600341796875,0.8105239868164063,0.5142974853515625,2.2698974609375,0.894256591796875,0.917144775390625,0.42603302001953125,0.33846282958984375,100,0.6840591430664063,0.6240158081054688,16487870464,15032385536,7546388480,0
200,1740567488038,8156.9293212890625,4250,0,1.275,20164.244598388672,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,0.875457763671875,0.357666015625,0.8589019775390625,0.7566146850585938,2.1949996948242188,0.5942916870117188,0.60107421875,0.7723770141601563,0.5200881958007813,100,0.4943084716796875,0.9906539916992188,16487870464,15032385536,7546363904,0
200,1740567488238,54734.79574584961,3400,0,1.025,20166.886169433594,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,2.0358505249023438,1.8229293823242188,1.7827606201171875,2.0057144165039063,3.6266326904296875,2.265350341796875,2.14892578125,2.0470657348632813,1.6346282958984375,100,1.6190948486328125,2.2075347900390625,16487870464,15032385536,7547297792,0
200,1740567488439,8156.956954956055,3400,0,0.99375,20169.437545776367,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,0,0,0,0,0,0,0,0,0,100,0.268280029296875,0,16487870464,15032385536,7563448320,0
200,1740567488639,8156.975357055664,4250,0,1.275,20172.038650512695,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,0.7369155883789063,0.6691436767578125,0.4452362060546875,0.5580368041992188,1.86810302734375,0.7561721801757813,0.592498779296875,0.3364715576171875,0.1535491943359375,100,0.2398681640625,0.5730972290039063,16487870464,15032385536,7565234176,0
200,1740567488840,8156.996383666992,4250,0,1.275,20174.720947265625,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,7.081153869628906,0.376708984375,0.6086044311523438,0.5807266235351563,2.1038284301757813,1.0307464599609375,0.7101821899414063,0.8221893310546875,0.6443557739257813,100,0.6783676147460938,0.908111572265625,16487870464,15032385536,7565234176,0
200,1740567489040,8157.02033996582,4250,0,1.275,20177.292282104492,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,0.6706924438476563,0.409576416015625,0.524078369140625,0.6601181030273438,2.0771560668945313,1.0411758422851563,0.39810943603515625,0.835662841796875,0.4073333740234375,100,0.4482269287109375,1.0443115234375,16487870464,15032385536,7567179776,0
200,1740567489241,8157.036697387695,4250,0,1.275,20179.940353393555,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,1.986907958984375,1.52880859375,1.685089111328125,1.699920654296875,3.1805801391601563,1.8095855712890625,1.93377685546875,1.7502899169921875,1.6251602172851563,100,1.8341293334960938,1.4860763549804688,16487870464,15032385536,7582461952,0
200,1740567489441,8157.058013916016,4250,0,1.2375,20182.51284790039,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,0,0,0,0,1.1907958984375,0,0,0,0,100,0,0,16487870464,15032385536,7582949376,0
199,1740567489642,8157.081329345703,4250,0,1.2375,20185.14129638672,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,0.9114608764648438,0.45351409912109375,0.44268798828125,2.3911285400390625,2.3296432495117188,1.202850341796875,0.40877532958984375,0.592742919921875,0.8772964477539063,100,0.7051544189453125,0.6184310913085938,16487870464,15032385536,7583162368,0
200,1740567489842,8157.100540161133,4250,0,1.2375,20187.7635345459,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,50.61689758300781,0.53863525390625,0.660614013671875,0.5895767211914063,2.2369842529296875,0.7727890014648438,0.9595489501953125,0.7563934326171875,0.5582351684570313,50.57180404663086,0.48699951171875,0.9270095825195313,16487870464,15032385536,7588589568,0
