Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740621019494,18608.959899902344,3400,0,1.025,43521.9539642334,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,100,47.63914108276367,57.570072174072266,53.78559112548828,75.65962219238281,100,40.798648834228516,44.35659408569336,100,58.61280059814453,87.75373840332031,0,16487870464,15032385536,7794839552,0
200,1740621019494,18608.97622680664,4250,0,1.30625,43522.15798950195,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,100,100,100,100,100,100,100,100,100,100,100,100,16487870464,15032385536,7794905088,0
199,1740621019694,18609.938690185547,4250,0,1.3,43530.593170166016,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,15.736122131347656,84.04972076416016,68.60449981689453,53.524112701416016,56.0096321105957,30.47320556640625,60.19516372680664,28.539344787597656,70.31897735595703,50.90804672241211,70.87358093261719,68.28302001953125,16487870464,15032385536,7809732608,0
199,1740621019894,22885.900619506836,3400,0,1.01875,43538.93295288086,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,51.37253189086914,35.71881866455078,100,95.99200439453125,21.071014404296875,15.941268920898438,3.5605621337890625,86.36790466308594,51.514862060546875,33.57771301269531,70.49200439453125,46.11434555053711,16487870464,15032385536,7809294336,0
200,1740621020094,22887.200790405273,4250,0,1.3,43547.847244262695,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,61.90683364868164,26.49010467529297,84.67633056640625,46.9727897644043,57.13208770751953,49.179840087890625,79.5834732055664,5.13623046875,18.724143981933594,77.20289611816406,38.898197174072266,77.08457946777344,16487870464,15032385536,7808667648,0
199,1740621020295,13974.454360961914,4250,0,1.30625,43556.66004943848,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,38.809661865234375,32.05720520019531,39.8317756652832,83.89579010009766,20.657875061035156,77.75802612304688,75.62846374511719,8.669921875,45.77919387817383,81.06147766113281,76.26425170898438,23.263320922851563,16487870464,15032385536,7805538304,0
199,1740621020495,13975.320114135742,4250,0,1.3,43565.337005615234,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,25.719696044921875,42.027381896972656,6.345130920410156,100,99.99110412597656,45.226383209228516,70.08049011230469,6.814781188964844,72.34623718261719,52.19233703613281,49.75587844848633,51.99604034423828,16487870464,15032385536,7803412480,0
200,1740621020695,13976.445419311523,4250,0,1.30625,43573.92219543457,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,53.69276428222656,25.657745361328125,46.219032287597656,64.8038330078125,92.04053497314453,13.591690063476563,56.453128814697266,21.794776916503906,50.16126251220703,64.52223205566406,57.60171127319336,50.353858947753906,16487870464,15032385536,7807008768,0
199,1740621020895,63072.698486328125,4250,0,1.3125,43582.57189941406,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,30.46167755126953,30.14630126953125,100,5.416534423828125,71.58489990234375,18.809669494628906,99.17546081542969,50.906517028808594,66.799560546875,58.67581558227539,85.95026397705078,20.52819061279297,16487870464,15032385536,7806205952,0
200,1740621021095,18618.191833496094,4250,0,1.3,43590.81736755371,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,47.110565185546875,68.76881408691406,67.82498931884766,91.92568969726563,24.581443786621094,68.42738342285156,26.204727172851563,79.85028076171875,100,1.2928619384765625,17.562881469726563,15.010787963867188,16487870464,15032385536,7805489152,0
199,1740621021296,13979.259063720703,4250,0,1.30625,43599.28762817383,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,0.5753555297851563,60.465187072753906,60.58576965332031,64.0003433227539,75.0987777709961,56.6353874206543,31.303009033203125,49.64247131347656,100,29.88532257080078,45.28490447998047,30.845191955566406,16487870464,15032385536,7804575744,0
200,1740621021496,22896.223999023438,3400,0,1.01875,43608.02584838867,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,50.66191101074219,35.552146911621094,46.28733444213867,67.85343170166016,44.276206970214844,18.649215698242188,93.53841400146484,29.46233367919922,85.21776580810547,52.06476593017578,49.83048629760742,50.57782745361328,16487870464,15032385536,7802830848,0
200,1740621021696,13981.374603271484,4250,0,1.29375,43617.052185058594,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,20.366653442382813,56.11457824707031,38.693599700927734,77.08706665039063,26.52721405029297,55.79983139038086,49.970664978027344,76.78530883789063,41.14218521118164,91.68831634521484,56.24086380004883,31.004592895507813,16487870464,15032385536,7807000576,0
200,1740621021897,63077.5977935791,4250,0,1.30625,43626.18362426758,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,4.585868835449219,68.47025299072266,69.33995056152344,29.76764678955078,99.0320816040039,1.394927978515625,62.332820892333984,93.08499145507813,30.8984375,70.98619842529297,70.77777862548828,6.9629669189453125,16487870464,15032385536,7806226432,0
200,1740621022097,22899.440490722656,3400,0,1.01875,43634.417068481445,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,43.70975112915039,7.989166259765625,100,24.109336853027344,58.567935943603516,15.122222900390625,53.79430389404297,83.61619567871094,94.05603790283203,22.869956970214844,69.28153991699219,41.35978698730469,16487870464,15032385536,7805476864,0
199,1740621022298,13983.497528076172,4250,0,1.30625,43642.72032165527,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,20.809844970703125,26.71904754638672,84.70629119873047,48.61785888671875,8.999732971191406,32.61975860595703,57.20906448364258,69.8716049194336,83.91568756103516,79.15013885498047,33.72883605957031,67.18734741210938,16487870464,15032385536,7804825600,0
200,1740621022498,13984.406829833984,4250,0,1.30625,43651.399993896484,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,43.67687225341797,31.592315673828125,82.49391174316406,57.77909469604492,17.82141876220703,89.49859619140625,25.12439727783203,59.65353775024414,17.00750732421875,100,78.08972930908203,16.87273406982422,16487870464,15032385536,7803797504,0
200,1740621022698,18629.806106567383,3400,0,1.025,43659.56024169922,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,20.305511474609375,18.914459228515625,87.0444107055664,31.631195068359375,25.95940399169922,39.00864028930664,85.69548034667969,64.58634185791016,64.60698699951172,81.46582794189453,46.8583984375,56.83381652832031,16487870464,15032385536,7807148032,0
199,1740621022899,13985.96078491211,4175,0,1.3,43668.280349731445,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,3301,0,86.4570083618164,57.780487060546875,99.81072235107422,35.0374755859375,37.03611755371094,77.23026275634766,26.636016845703125,0,100,5.32781982421875,75.15452575683594,16487870464,15032385536,7806386176,0
