Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740596471450,14965.02798461914,4000,0,1.2875,33497.67401123047,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,93.61980438232422,22.55492401123047,32.191070556640625,37.99820327758789,94.2391357421875,42.68680191040039,61.941287994384766,39.46110916137695,55.91258239746094,25.051834106445313,41.885047912597656,32.01844024658203,17125388288,4831838208,13359775744,0
199,1740596471451,14965.053817749023,3975,0,1.3125,33497.871154785156,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,100,100,100,100,100,100,100,100,100,100,100,100,17125388288,4831838208,13359587328,0
200,1740596471651,14966.722091674805,3900,0,1.23125,33510.8543548584,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,32.595314025878906,29.760719299316406,11.835899353027344,13.37158203125,56.2674560546875,13.159103393554688,33.21870422363281,14.368705749511719,36.4152717590332,10.496627807617188,33.895904541015625,37.5802001953125,17125388288,4831838208,13409411072,0
200,1740596471851,58048.69877624512,3975,0,1.2875,33523.41026306152,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,50.60530090332031,15.513992309570313,6.591835021972656,1.091156005859375,52.007545471191406,31.803207397460938,38.204593658447266,10.507804870605469,23.844276428222656,3.8231964111328125,11.405372619628906,59.900413513183594,17125388288,4831838208,13392433152,0
200,1740596472051,15249.502182006836,3925,0,1.2875,33536.39807128906,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,45.90431594848633,32.404640197753906,38.08966827392578,50.4847412109375,38.972984313964844,71.22128295898438,71.91958618164063,27.96143341064453,40.176483154296875,27.320571899414063,28.75763702392578,30.537857055664063,17125388288,4831838208,13391454208,0
200,1740596472251,58051.01985168457,3975,0,1.2875,33549.24954223633,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,21.161941528320313,6.858787536621094,1.7534942626953125,1.22967529296875,0.6475906372070313,100,33.45885467529297,9.856399536132813,22.471267700195313,8.419151306152344,5.7390899658203125,1.1715621948242188,17125388288,4831838208,13390884864,0
200,1740596472452,15252.374603271484,3975,0,1.2875,33562.12678527832,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,22.137008666992188,6.4237518310546875,1.9984130859375,1.325164794921875,2.8458251953125,100,30.74797821044922,12.44549560546875,20.712203979492188,9.488685607910156,5.5414886474609375,1.1760025024414063,17125388288,4831838208,13390888960,0
200,1740596472652,15253.80435180664,3925,0,1.24375,33575.05528259277,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,22.38653564453125,13.571098327636719,14.627571105957031,4.715232849121094,31.13311767578125,70.29435729980469,24.487396240234375,19.65369415283203,27.393569946289063,9.019195556640625,10.652435302734375,2.9311981201171875,17125388288,4831838208,13387165696,0
200,1740596472852,15255.216720581055,3975,0,1.29375,33587.87007141113,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,19.20043182373047,9.952156066894531,10.915847778320313,2.3742523193359375,100,0.6310272216796875,22.40540313720703,19.987258911132813,18.765548706054688,12.548316955566406,5.629798889160156,1.9554977416992188,17125388288,4831838208,13387161600,0
200,1740596473052,15256.668395996094,3975,0,1.29375,33600.77828979492,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,16.603981018066406,8.912185668945313,3.3854217529296875,1.5462112426757813,100,0.5946884155273438,21.82691192626953,20.64588165283203,17.80164337158203,12.926811218261719,6.6946563720703125,1.1546478271484375,17125388288,4831838208,13387182080,0
