Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740596337545,60782.923767089844,3575,1,1.0625,27636.904006958008,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,45.45681381225586,43.772857666015625,68.08631134033203,30.189010620117188,65.47891998291016,87.98041534423828,100,100,100,100,81.69259643554688,35.819366455078125,17125388288,4831838208,13530787840,0
199,1740596337546,14431.918518066406,3525,1,1.03125,27637.241439819336,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,0,31.01886749267578,48.27613830566406,10.630928039550781,55.906959533691406,88.59906005859375,100,100,100,99.7202377319336,29.81189727783203,100,17125388288,4831838208,13530537984,0
200,1740596337746,14433.081756591797,3900,0,1.2125,27649.244750976563,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,43.02973556518555,71.72301483154297,35.81195831298828,53.39400100708008,22.935203552246094,83.69207763671875,23.406898498535156,100,65.01690673828125,99.97789001464844,51.71338653564453,65.11723327636719,17125388288,4831838208,13589127168,0
200,1740596337946,14735.829635620117,3600,1,1.08125,27661.13931274414,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,46.34090042114258,46.594303131103516,36.333045959472656,81.55694580078125,58.963626861572266,87.68291473388672,66.74563598632813,60.60992431640625,59.54798126220703,67.74717712402344,59.552032470703125,45.32769012451172,17125388288,4831838208,13580181504,0
200,1740596338146,55524.897064208984,3600,1,1.075,27674.029067993164,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,66.24497985839844,58.977149963378906,56.0803337097168,59.25203323364258,67.2239761352539,90.08515930175781,89.77215576171875,63.13727951049805,98.70929718017578,88.00060272216797,48.84731674194336,59.182559967041016,17125388288,4831838208,13576933376,0
199,1740596338347,14437.506713867188,3700,0,1.1125,27685.903701782227,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,29.031265258789063,72.2876968383789,41.56443405151367,44.74570846557617,92.67188262939453,35.836273193359375,66.42566680908203,78.69627380371094,71.69709777832031,57.79540252685547,50.52409362792969,63.74679183959961,17125388288,4831838208,13565394944,0
200,1740596338547,14439.094161987305,3425,1,0.96875,27698.21369934082,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,30.076942443847656,63.23160171508789,35.812347412109375,57.444602966308594,83.80905151367188,51.76620864868164,56.97384262084961,91.06961822509766,41.39396667480469,69.6742935180664,73.69052124023438,35.584228515625,17125388288,4831838208,13531500544,0
199,1740596338747,14440.592849731445,3550,1,1.05,27710.107192993164,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,24.554115295410156,57.72991943359375,36.04386901855469,64.51123809814453,23.74829864501953,97.92221069335938,33.79735565185547,71.98907470703125,64.8466796875,83.86811065673828,39.187740325927734,65.28370666503906,17125388288,4831838208,13526814720,0
199,1740596338947,60791.73081970215,3650,0,1.10625,27721.907913208008,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,24.99980926513672,69.88992309570313,35.986534118652344,34.43861389160156,53.69941329956055,78.54237365722656,72.3772964477539,69.29127502441406,56.845664978027344,68.31639099121094,24.237533569335938,33.447593688964844,17125388288,4831838208,13526839296,0
200,1740596339148,14443.593200683594,3525,1,1.025,27733.934127807617,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,29.309707641601563,44.395992279052734,6.357749938964844,29.9827880859375,53.96091842651367,65.62350463867188,48.66651916503906,84.46283721923828,63.28079605102539,85.75464630126953,37.45055389404297,79.59577941894531,17125388288,4831838208,13526720512,0
