Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740670111835,10042.236053466797,4000,0,1.30625,17200.815841674805,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,100,100,100,100,100,100,100,100,100,100,100,100,17125388288,4831838208,6115426304,0
199,1740670111835,10042.251388549805,4000,0,1.30625,17200.94303894043,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,83.86863708496094,84.74568939208984,81.88958740234375,80.59144592285156,100,80.41620635986328,99.74978637695313,81.23921203613281,85.2635498046875,80.51995849609375,85.99588775634766,80.88874053955078,17125388288,4831838208,6115430400,0
191,1740670112044,10043.491744995117,4000,0,1.30625,17213.01301574707,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,18.497947692871094,3.8785552978515625,0,0,100,0,29.650794982910156,9.477325439453125,19.078643798828125,8.642662048339844,3.9114608764648438,0,17125388288,4831838208,6115373056,0
200,1740670112235,10044.625885009766,4000,0,1.30625,17224.010482788086,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,20.791587829589844,6.167793273925781,1.40618896484375,1.2754898071289063,100,1.2964935302734375,30.91082000732422,11.114974975585938,20.152191162109375,11.84100341796875,5.986572265625,1.5940780639648438,17125388288,4831838208,6115647488,0
200,1740670112435,10045.823257446289,4000,0,1.3,17235.528228759766,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,19.498519897460938,5.3165283203125,0.48729705810546875,0.40186309814453125,100,0.3684539794921875,30.89769744873047,10.438362121582031,21.68859100341797,9.080085754394531,5.36700439453125,0.2280426025390625,17125388288,4831838208,6115848192,0
199,1740670112636,10047.028442382813,4000,0,1.3,17247.046173095703,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,19.51959991455078,5.0418853759765625,0.4717864990234375,0.2522430419921875,100,0.23297119140625,29.837181091308594,11.773231506347656,22.794479370117188,7.527923583984375,5.084625244140625,0.510528564453125,17125388288,4831838208,6114848768,0
200,1740670112836,10048.267059326172,4000,0,1.3,17258.642044067383,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,20.684188842773438,5.811637878417969,1.0025100708007813,0.933685302734375,100,1.3099212646484375,30.57537841796875,13.807968139648438,20.39946746826172,10.124893188476563,5.315361022949219,1.4034347534179688,17125388288,4831838208,6114992128,0
200,1740670113036,10049.477844238281,4000,0,1.3,17270.162719726563,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,20.194175720214844,5.3942718505859375,0.48126220703125,0.24951934814453125,100,0.35837554931640625,30.161155700683594,10.739761352539063,20.945030212402344,9.193756103515625,5.171318054199219,0.31548309326171875,17125388288,4831838208,6115201024,0
200,1740670113236,63710.33972167969,3260,1,1.33125,17281.642868041992,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,20.70653533935547,4.4304962158203125,0.24831390380859375,0.1041107177734375,100,0.1455535888671875,28.981414794921875,11.562179565429688,20.851036071777344,9.634040832519531,5.4628448486328125,0.1158905029296875,17125388288,4831838208,6115241984,0
200,1740670113437,10051.808883666992,3260,1,1.3375,17293.308197021484,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,21.565811157226563,1.7255096435546875,0.2746429443359375,0.12354278564453125,100,0.16243743896484375,29.053192138671875,11.127059936523438,13.701263427734375,20.65044403076172,6.258674621582031,0.7514724731445313,17125388288,4831838208,6116360192,0
