Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740665756987,47718.99984741211,4000,0,1.30625,32812.938735961914,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,100,100,100,100,100,100,100,100,100,100,100,100,17125388288,4831838208,7351300096,0
200,1740665756987,56826.29244995117,4000,0,1.3,32813.04821777344,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,100,100,100,100,100,100,100,100,100,100,100,100,17125388288,4831838208,7351312384,0
191,1740665757196,56826.793869018555,4000,0,1.3,32822.865158081055,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,2.9930877685546875,3.008758544921875,2.471954345703125,2.4623947143554688,2.4733963012695313,100,4.147590637207031,3.1157608032226563,2.5304718017578125,2.677947998046875,2.5168075561523438,2.4738693237304688,17125388288,4831838208,7344812032,0
203,1740665757388,56827.141372680664,4000,0,1.3,32831.06506347656,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,7.819549560546875,0,0,0,0,91.61654663085938,0.32018280029296875,0,0,0,0,0,17125388288,4831838208,7353618432,0
201,1740665757591,45792.76786804199,3550,1,1.05,32842.06163024902,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,29.04467010498047,29.073944091796875,27.746917724609375,28.512222290039063,29.150115966796875,96.54617309570313,29.240524291992188,29.538345336914063,28.745872497558594,28.785423278808594,28.973541259765625,28.950485229492188,17125388288,4831838208,7352205312,0
212,1740665757793,55383.561126708984,3675,0,1.10625,32856.33018493652,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,89.99290466308594,90.59091186523438,86.80950927734375,87.56523132324219,90.94951629638672,91.21937561035156,89.95542907714844,90.10853576660156,88.0474624633789,88.65654754638672,88.37628936767578,87.77387237548828,17125388288,4831838208,7354761216,0
199,1740665758006,55385.4709777832,3575,1,1.05625,32871.48286437988,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,89.09029388427734,88.39170837402344,86.57118225097656,86.28504180908203,90.01528930664063,89.80755615234375,88.75374603271484,89.11473846435547,87.5355224609375,86.99554443359375,87.01611328125,85.49443817138672,17125388288,4831838208,7359619072,0
200,1740665758206,56833.63914489746,3675,0,1.09375,32885.36801147461,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,88.70729064941406,88.31594848632813,86.8132095336914,86.94688415527344,89.93386840820313,90.36376190185547,90.56025695800781,89.86734771728516,87.53611755371094,87.97476959228516,87.196044921875,87.09027099609375,17125388288,4831838208,7359619072,0
202,1740665758407,45800.49522399902,3525,1,1.03125,32899.95991516113,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,90.01612854003906,89.18124389648438,86.95901489257813,87.78565216064453,90.8322982788086,88.90877532958984,89.98051452636719,91.57450103759766,87.51266479492188,87.80516815185547,87.48898315429688,87.45223236083984,17125388288,4831838208,7359619072,0
200,1740665758610,45802.20637512207,3550,1,1.03125,32912.95115661621,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,90.25544738769531,89.12976837158203,87.22163391113281,86.8187026977539,91.13965606689453,91.24818420410156,89.9660873413086,90.44989776611328,89.130615234375,88.45780944824219,88.03750610351563,88.15816497802734,17125388288,4831838208,7359586304,0
