Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740658120901,23972.996292114258,3975,0,1.28125,43659.64587402344,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,100,0,0,55.057579040527344,0,100,43.2125244140625,14.33770751953125,0,8.539810180664063,100,0,17125388288,4831838208,6417108992,0
191,1740658120910,18879.96238708496,3975,0,1.275,43660.50051879883,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,100,100,30.99573516845703,12.614700317382813,14.348518371582031,100,97.90834045410156,13.298004150390625,99.93524932861328,99.75462341308594,31.22492218017578,14.222419738769531,17125388288,4831838208,6417174528,0
199,1740658121102,23974.833892822266,3925,0,1.23125,43673.74821472168,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,13.358383178710938,100,1.0756683349609375,89.74845886230469,3.20050048828125,100,100,3.08514404296875,100,10.614303588867188,90.71491241455078,1.9725418090820313,17125388288,4831838208,6417244160,0
200,1740658121302,23976.572479248047,3950,0,1.275,43687.27088928223,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,1.23370361328125,100,0.8030014038085938,100,2.7292098999023438,100,33.896034240722656,67.32856750488281,100,0.9385757446289063,100,0.8213958740234375,17125388288,4831838208,6417088512,0
200,1740658121502,19114.3377532959,3975,0,1.2875,43700.83528137207,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,2.558074951171875,100,0.8828201293945313,91.34317779541016,1.0690155029296875,100,9.906730651855469,100,100,9.545585632324219,81.93798065185547,10.082733154296875,17125388288,4831838208,6415937536,0
200,1740658121703,23980.102920532227,3900,0,1.225,43714.42208862305,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,1.1590652465820313,100,0.4770660400390625,98.45866394042969,1.8207244873046875,100,0.55682373046875,100,1.9397048950195313,100,0.29857635498046875,100,17125388288,4831838208,6415507456,0
199,1740658121903,23981.827911376953,3625,0,1.11875,43727.8913269043,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,0.36876678466796875,100,0.17430877685546875,100,1.8524093627929688,100,0.50592041015625,100,0.27106475830078125,100,0.6068115234375,100,17125388288,4831838208,6414282752,0
199,1740658122103,23983.502807617188,3500,1,1.03125,43741.184814453125,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,2.6437530517578125,100,0.7238311767578125,100,2.698516845703125,100,1.232513427734375,100,1.5927047729492188,100,0.23113250732421875,100,17125388288,4831838208,6415978496,0
200,1740658122303,23985.206161499023,3525,1,1.0375,43754.55381774902,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,0.27468109130859375,100,0,100,2.8867263793945313,100,0.1838531494140625,100,0,100,0,100,17125388288,4831838208,6415687680,0
200,1740658122503,23986.88539123535,3600,1,1.0625,43767.849685668945,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,3593,0.6208419799804688,100,0.32895660400390625,100,1.8213958740234375,100,0.55950927734375,100,0.41219329833984375,100,0.417388916015625,100,17125388288,4831838208,6415495168,0
